Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
SRX11076248	SRR14741669	2024-04-26 09:42:33	2021-06-06 03:08:23	24518635	7404627770	24518635	302	2158		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR014/14741/SRR14741669/SRR14741669.lite.1	Y_36 h_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP322880	PRJNA735419		735419	SRS9142289	SAMN19581940	simple	4952	Yarrowia lipolytica	Y_36 h							no					HUAZHONG AGRICULTURE UNIVERSITY	SRA1241154		public	D5BE9597491CBA91E091376CC8D81E3B	8413E9E0BFED6DD53DF9F567E6941FEB		
SRX11076249	SRR14741668	2024-04-26 09:42:33	2021-06-06 03:06:01	26394390	7971105780	26394390	302	2333		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR014/14741/SRR14741668/SRR14741668.lite.1	Y_36 h_2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP322880	PRJNA735419		735419	SRS9142289	SAMN19581940	simple	4952	Yarrowia lipolytica	Y_36 h							no					HUAZHONG AGRICULTURE UNIVERSITY	SRA1241154		public	C61DC504D38D3F702378ABBBA465B8F2	B4E3F4085C50142EAC7345EAC7B34D62		
SRX11076250	SRR14741667	2024-04-26 09:42:33	2021-06-06 02:48:52	26985587	8149647274	26985587	302	2355		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR014/14741/SRR14741667/SRR14741667.lite.1	Y_36 h_3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP322880	PRJNA735419		735419	SRS9142289	SAMN19581940	simple	4952	Yarrowia lipolytica	Y_36 h							no					HUAZHONG AGRICULTURE UNIVERSITY	SRA1241154		public	3C9E4C66FF962198736ED3D1589BB38A	0B99567DA7E89517043BF97CB35E1540		
SRX11098174	SRR14764703	2023-07-01 00:11:11	2021-06-09 07:05:04	27620840	8286252000	27620840	300	2425		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14764/SRR14764703/SRR14764703.lite.1	Control 1-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP321453	PRJNA732644		732644	SRS9163234	SAMN19591176	simple	4952	Yarrowia lipolytica	Control replicate 1							no					SHANDONG UNIVERSITY	SRA1242618		public	DAA721F1DB66A620D0C1682D2D6A9620	C990E4107A19683A4A633EA9856947C4		
SRX11098175	SRR14764702	2023-07-01 00:11:11	2021-06-09 07:07:41	24862583	7458774900	24862583	300	2202		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR014/14764/SRR14764702/SRR14764702.lite.1	Control 2-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP321453	PRJNA732644		732644	SRS9163235	SAMN19591177	simple	4952	Yarrowia lipolytica	Control replicate 2							no					SHANDONG UNIVERSITY	SRA1242618		public	1C37106C3743A58D58807EDA66C0E63D	C6E4541F886186400A9C7A6C0EFAEA2A		
SRX11098176	SRR14764701	2023-07-01 00:11:11	2021-06-09 07:08:17	25869176	7760752800	25869176	300	2284		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14764/SRR14764701/SRR14764701.lite.1	Knockout Ndt1-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP321453	PRJNA732644		732644	SRS9163236	SAMN19591178	simple	4952	Yarrowia lipolytica	Knockout Ndt replicate 1							no					SHANDONG UNIVERSITY	SRA1242618		public	F399AC3EB9B264888D146C7F68A49F28	1FB2AE42FE22EA9A8967676302AB77E2		
SRX11098177	SRR14764700	2023-07-01 00:11:11	2021-06-09 07:11:15	22495011	6748503300	22495011	300	1985		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14764/SRR14764700/SRR14764700.lite.1	Knockout Ndt2-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP321453	PRJNA732644		732644	SRS9163237	SAMN19591179	simple	4952	Yarrowia lipolytica	Knockout Ndt replicate 2							no					SHANDONG UNIVERSITY	SRA1242618		public	7EF5FD52162A11B393C66E4CDAAC887D	F68D80F6FBD5400A8C9FB0B7573A071C		
SRX14702367	SRR18573398	2022-04-08 14:36:41	2022-04-01 19:20:36	21428004	6428401200	21428004	300	3921		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR018/18573/SRR18573398/SRR18573398.lite.1	GSM5990334	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP367027	PRJNA821898	3	821898	SRS12465428	SAMN27155748	simple	284591	Yarrowia lipolytica CLIB122	GSM5990334							no					TIANJIN UNIVERSITY	SRA1395356		public	A23B9314D3AB449F70FA6A6C1C668E26	A5307420F2717400D02464B58D6246B5		
SRX14702368	SRR18573397	2022-04-08 14:36:41	2022-04-01 18:50:43	21276595	6382978500	21276595	300	3885		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR018/18573/SRR18573397/SRR18573397.lite.1	GSM5990333	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP367027	PRJNA821898	3	821898	SRS12465432	SAMN27155749	simple	284591	Yarrowia lipolytica CLIB122	GSM5990333							no					TIANJIN UNIVERSITY	SRA1395356		public	18135F294801DB8B35641AA794540A36	1C0316DE12741E76869A9DF6B3B00EAA		
SRX14702369	SRR18573396	2022-04-08 14:36:41	2022-04-01 18:57:01	21302824	6390847200	21302824	300	3903		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR018/18573/SRR18573396/SRR18573396.lite.1	GSM5990331	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP367027	PRJNA821898	3	821898	SRS12465427	SAMN27155751	simple	284591	Yarrowia lipolytica CLIB122	GSM5990331							no					TIANJIN UNIVERSITY	SRA1395356		public	A373867FCDE4FE3577E92583AD8ACB88	FADF366D36CA1512C0174BA6CB314B38		
SRX14702370	SRR18573395	2022-04-08 14:36:41	2022-04-01 18:50:49	21264256	6379276800	21264256	300	3884		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18573/SRR18573395/SRR18573395.lite.1	GSM5990330	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP367027	PRJNA821898	3	821898	SRS12465426	SAMN27155752	simple	284591	Yarrowia lipolytica CLIB122	GSM5990330							no					TIANJIN UNIVERSITY	SRA1395356		public	BC697C41E9AB77C98C6C224B9D8E7984	4D40B513414E64DA9627C145FD04073F		
SRX14702371	SRR18573394	2022-04-08 14:36:41	2022-04-01 18:52:22	21375355	6412606500	21375355	300	3913		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18573/SRR18573394/SRR18573394.lite.1	GSM5990329	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP367027	PRJNA821898	3	821898	SRS12465429	SAMN27155753	simple	284591	Yarrowia lipolytica CLIB122	GSM5990329							no					TIANJIN UNIVERSITY	SRA1395356		public	DCE826C997A0E698290E4DB43E5A8AED	BFC3C7AB0124B56D6FA7F6070D3FC917		
SRX14702372	SRR18573393	2022-04-08 14:36:41	2022-04-01 18:53:08	21381318	6414395400	21381318	300	3921		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR018/18573/SRR18573393/SRR18573393.lite.1	GSM5990332	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP367027	PRJNA821898	3	821898	SRS12465430	SAMN27155750	simple	284591	Yarrowia lipolytica CLIB122	GSM5990332							no					TIANJIN UNIVERSITY	SRA1395356		public	8FCED5ECD1812D40BF6B6976FC5EA224	474A39AA284490ED36EFC7FF04F14546		
SRX17046746	SRR21031258	2022-12-31 00:24:19	2022-08-15 22:27:25	43751357	12567207495	0	287	2188		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21031/SRR21031258/SRR21031258.lite.1	control1_replicate1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP391919	PRJNA869113		869113	SRS14631387	SAMN30286972	simple	4952	Yarrowia lipolytica	control							no					POZNAN UNIVERSITY OF LIFE SCIENCES	SRA1474778		public	7331F66AAE44DC4FE64D61851FF6C4BE	A038FE05FBDA6A1F79A6A0AEC33319AE		
SRX17046747	SRR21031257	2022-12-31 00:24:19	2022-08-16 03:53:43	42660680	12295231625	0	288	2174		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21031/SRR21031257/SRR21031257.lite.1	control1_replicate2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP391919	PRJNA869113		869113	SRS14631387	SAMN30286972	simple	4952	Yarrowia lipolytica	control							no					POZNAN UNIVERSITY OF LIFE SCIENCES	SRA1474778		public	9B58BFD80B3C5E917B2A7EB1A647CA4C	369A9E6DB93AF799B3D4240F524F9E8B		
SRX17046748	SRR21031256	2022-12-31 00:24:19	2022-08-15 23:33:04	41753675	12019903198	0	287	1526		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21031/SRR21031256/SRR21031256.lite.1	HAC1_scYFP_replicate 1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP391919	PRJNA869113		869113	SRS14631388	SAMN30286971	simple	4952	Yarrowia lipolytica	HAC1_scYFP							no					POZNAN UNIVERSITY OF LIFE SCIENCES	SRA1474778		public	9B2877CD98010BAB68E4D1550E6130B8	7E09A2E8F28AE5C715EBF00069A69B34		
SRX17046749	SRR21031255	2022-12-31 00:24:19	2022-08-15 23:32:13	39002794	11238571446	0	288	1479		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21031/SRR21031255/SRR21031255.lite.1	HAC1_scYFP_replicate 2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP391919	PRJNA869113		869113	SRS14631388	SAMN30286971	simple	4952	Yarrowia lipolytica	HAC1_scYFP							no					POZNAN UNIVERSITY OF LIFE SCIENCES	SRA1474778		public	85DE697EC3B5037873515DD6CB940600	FD16D9F78B53C38F9B3CCCC479824B68		
SRX17115526	SRR21101973	2022-09-04 04:37:57	2022-08-17 11:26:32	24063168	7218950400	24063168	300	2237		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR021/21101/SRR21101973/SRR21101973.lite.1	CK1	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP392644	PRJNA870251		870251	SRS14689703	SAMN30355414	simple	4952	Yarrowia lipolytica	CK1							no					QINGDAO AGRICULTURAL UNIVERSITY	SRA1477455		public	D6E684F90AD7B346392453E578AF31E7	0FB116C180C55838150F875DDB88346C		
SRX17115527	SRR21101972	2022-09-04 04:37:57	2022-08-17 11:27:12	23787138	7136141400	23787138	300	2210		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR021/21101/SRR21101972/SRR21101972.lite.1	CK2	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP392644	PRJNA870251		870251	SRS14689707	SAMN30355415	simple	4952	Yarrowia lipolytica	CK2							no					QINGDAO AGRICULTURAL UNIVERSITY	SRA1477455		public	31366C1181A45B8CF820A54CDA388B1C	69A23D6DFC7868F75F60AFEB042E7345		
SRX17115528	SRR21101971	2022-09-04 04:37:57	2022-08-17 11:33:04	24721223	7416366900	24721223	300	2310		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR021/21101/SRR21101971/SRR21101971.lite.1	CK3	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP392644	PRJNA870251		870251	SRS14689704	SAMN30355416	simple	4952	Yarrowia lipolytica	CK3							no					QINGDAO AGRICULTURAL UNIVERSITY	SRA1477455		public	EC42226DA880C30ECB182671CF2071E3	A6337FA94AA12CB69DD9FB8118423FB4		
SRX17115529	SRR21101970	2022-09-04 04:37:57	2022-08-17 11:26:22	25025518	7507655400	25025518	300	2349		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR021/21101/SRR21101970/SRR21101970.lite.1	RAP1	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP392644	PRJNA870251		870251	SRS14689705	SAMN30355417	simple	4952	Yarrowia lipolytica	RAP1							no					QINGDAO AGRICULTURAL UNIVERSITY	SRA1477455		public	1CC3CF47BCE335234D88F6F97CA75AA7	EFF0E8B558CC88EEEC4AA772FD1A3694		
SRX17115530	SRR21101969	2022-09-04 04:37:57	2022-08-17 11:31:07	23996285	7198885500	23996285	300	2257		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR021/21101/SRR21101969/SRR21101969.lite.1	RAP2	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP392644	PRJNA870251		870251	SRS14689706	SAMN30355418	simple	4952	Yarrowia lipolytica	RAP2							no					QINGDAO AGRICULTURAL UNIVERSITY	SRA1477455		public	EC7375E0661870BEE7B49F0767E20F05	E7FE45834D260C7989725FCFFC51FF22		
SRX17115531	SRR21101968	2022-09-04 04:37:57	2022-08-17 11:28:54	24482514	7344754200	24482514	300	2295		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR021/21101/SRR21101968/SRR21101968.lite.1	RAP3	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP392644	PRJNA870251		870251	SRS14689708	SAMN30355419	simple	4952	Yarrowia lipolytica	RAP3							no					QINGDAO AGRICULTURAL UNIVERSITY	SRA1477455		public	7532B133939745F844F823990B8B4C4D	FC87257481DAA4C4471B419504706ECA		
SRX17173197	SRR21162034	2022-08-24 07:40:08	2022-08-24 07:36:33	27620840	8286252000	27620840	300	2425		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21162/SRR21162034/SRR21162034.lite.1	ck1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP393397	PRJNA872103		872103	SRS14743339	SAMN30438610	simple	4952	Yarrowia lipolytica	ck1							no					YARROWIA LIPOLYTICA	SRA1480554		public	DAA721F1DB66A620D0C1682D2D6A9620	C990E4107A19683A4A633EA9856947C4		
SRX17173198	SRR21162033	2022-08-24 08:25:42	2022-08-24 08:21:41	24862583	7458774900	24862583	300	2202		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21162/SRR21162033/SRR21162033.lite.1	ck2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP393397	PRJNA872103		872103	SRS14743340	SAMN30438611	simple	4952	Yarrowia lipolytica	ck2							no					YARROWIA LIPOLYTICA	SRA1480554		public	1C37106C3743A58D58807EDA66C0E63D	C6E4541F886186400A9C7A6C0EFAEA2A		
SRX17173199	SRR21162032	2022-08-22 14:18:17	2022-08-22 14:16:44	28421068	8526320400	28421068	300	2508		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21162/SRR21162032/SRR21162032.lite.1	TF1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP393397	PRJNA872103		872103	SRS14743341	SAMN30438612	simple	4952	Yarrowia lipolytica	TF1							no					YARROWIA LIPOLYTICA	SRA1480554		public	0DE1CB7F66AE0C0482565102F19C83A2	DA6626783FD6AD2F7C5B1EB8E91EC3D9		
SRX17173200	SRR21162031	2022-08-22 13:43:18	2022-08-22 13:41:08	22141303	6642390900	22141303	300	1961		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21162/SRR21162031/SRR21162031.lite.1	TF2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP393397	PRJNA872103		872103	SRS14743342	SAMN30438613	simple	4952	Yarrowia lipolytica	TF2							no					YARROWIA LIPOLYTICA	SRA1480554		public	B0FEB55867DE11344D4AF0CAA9F08CD2	494DE387E1EDF3207B7B7F4862B2F8EE		
SRX17838973	SRR21850408	2022-10-10 06:20:21	2022-10-10 06:13:42	19815829	5944748700	0	300	1726		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21850/SRR21850408/SRR21850408.lite.1	E21	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP401763	PRJNA888546		888546	SRS15361111	SAMN31218955	simple	4952	Yarrowia lipolytica	E21.raw_1.fastq							no					NANJING UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1516882		public	30915A9411CC8A71D480E929292F5752	D135989BDC0D7D6542EA27F99800C0FA		
SRX17838974	SRR21850407	2022-10-10 06:08:19	2022-10-10 06:04:12	19185535	5755660500	0	300	1647		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21850/SRR21850407/SRR21850407.lite.1	E22	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP401763	PRJNA888546		888546	SRS15361112	SAMN31218957	simple	4952	Yarrowia lipolytica	E22.raw_1.fastq							no					NANJING UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1516882		public	464429EACD68A3473AE31B41E075348A	49BF06BC13F13CA3707CB26A72831BC1		
SRX17838975	SRR21850406	2022-10-10 06:11:12	2022-10-10 06:07:49	19989043	5996712900	0	300	1753		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21850/SRR21850406/SRR21850406.lite.1	E23	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP401763	PRJNA888546		888546	SRS15361113	SAMN31218959	simple	4952	Yarrowia lipolytica	E23.raw_1.fastq							no					NANJING UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1516882		public	CF9B57C0EBAE65D22AF4343804ADF0C9	295A7B40AAC92F4FDCEA5CED679A6B66		
